year,Tyler
1880,7
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,5
1889,7
1890,0
1891,0
1892,5
1893,0
1894,0
1895,5
1896,6
1897,0
1898,5
1899,5
1900,11
1901,0
1902,0
1903,6
1904,5
1905,6
1906,0
1907,5
1908,7
1909,0
1910,8
1911,13
1912,21
1913,13
1914,15
1915,22
1916,27
1917,26
1918,27
1919,31
1920,30
1921,25
1922,35
1923,24
1924,22
1925,22
1926,21
1927,27
1928,34
1929,19
1930,28
1931,21
1932,24
1933,17
1934,15
1935,26
1936,12
1937,19
1938,33
1939,40
1940,35
1941,41
1942,35
1943,39
1944,43
1945,42
1946,52
1947,68
1948,68
1949,71
1950,80
1951,71
1952,89
1953,98
1954,118
1955,117
1956,139
1957,148
1958,144
1959,152
1960,187
1961,197
1962,239
1963,290
1964,325
1965,309
1966,343
1967,435
1968,454
1969,513
1970,774
1971,744
1972,848
1973,773
1974,951
1975,1105
1976,1305
1977,1506
1978,1814
1979,2103
1980,2683
1981,3209
1982,4717
1983,5948
1984,8893
1985,10402
1986,11106
1987,11781
1988,13602
1989,15861
1990,21074
1991,25838
1992,29769
1993,30978
1994,31531
1995,30069
1996,27803
1997,25638
1998,24519
1999,23451
2000,22182
2001,19837
2002,18783
2003,18628
2004,17927
2005,17336
2006,15907
2007,14397
2008,12947
2009,11762
2010,10627
2011,8992
2012,7849
