year,Veda
1880,0
1881,6
1882,5
1883,0
1884,9
1885,17
1886,8
1887,16
1888,26
1889,19
1890,27
1891,18
1892,23
1893,22
1894,31
1895,41
1896,37
1897,44
1898,46
1899,50
1900,52
1901,52
1902,52
1903,52
1904,40
1905,54
1906,51
1907,59
1908,60
1909,56
1910,65
1911,74
1912,101
1913,107
1914,118
1915,168
1916,171
1917,169
1918,167
1919,164
1920,193
1921,188
1922,166
1923,162
1924,167
1925,169
1926,166
1927,145
1928,137
1929,143
1930,126
1931,97
1932,97
1933,106
1934,118
1935,101
1936,99
1937,95
1938,89
1939,68
1940,80
1941,70
1942,82
1943,67
1944,65
1945,83
1946,200
1947,164
1948,137
1949,91
1950,97
1951,93
1952,97
1953,106
1954,128
1955,79
1956,108
1957,95
1958,122
1959,119
1960,128
1961,116
1962,101
1963,108
1964,102
1965,74
1966,78
1967,74
1968,58
1969,54
1970,48
1971,63
1972,35
1973,41
1974,31
1975,28
1976,27
1977,20
1978,34
1979,21
1980,25
1981,27
1982,25
1983,20
1984,18
1985,10
1986,17
1987,20
1988,0
1989,11
1990,17
1991,10
1992,19
1993,36
1994,24
1995,25
1996,40
1997,31
1998,28
1999,50
2000,60
2001,49
2002,67
2003,62
2004,65
2005,98
2006,75
2007,96
2008,132
2009,132
2010,155
2011,202
2012,176
