year,Vernetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,7
1898,0
1899,0
1900,5
1901,5
1902,0
1903,7
1904,5
1905,7
1906,7
1907,9
1908,13
1909,9
1910,11
1911,12
1912,17
1913,22
1914,28
1915,32
1916,33
1917,42
1918,45
1919,33
1920,45
1921,37
1922,45
1923,54
1924,49
1925,41
1926,38
1927,30
1928,48
1929,28
1930,38
1931,36
1932,35
1933,28
1934,37
1935,50
1936,25
1937,38
1938,34
1939,35
1940,40
1941,25
1942,29
1943,35
1944,45
1945,27
1946,47
1947,57
1948,50
1949,38
1950,60
1951,81
1952,52
1953,61
1954,41
1955,74
1956,73
1957,49
1958,64
1959,56
1960,52
1961,55
1962,59
1963,62
1964,40
1965,46
1966,50
1967,34
1968,34
1969,33
1970,40
1971,29
1972,27
1973,32
1974,28
1975,24
1976,22
1977,25
1978,16
1979,27
1980,15
1981,21
1982,14
1983,17
1984,14
1985,17
1986,11
1987,9
1988,10
1989,13
1990,6
1991,9
1992,5
1993,5
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
