year,Wright
1880,5
1881,5
1882,0
1883,10
1884,8
1885,9
1886,5
1887,6
1888,8
1889,6
1890,6
1891,10
1892,13
1893,10
1894,8
1895,0
1896,5
1897,10
1898,8
1899,14
1900,7
1901,8
1902,5
1903,7
1904,7
1905,7
1906,0
1907,12
1908,6
1909,13
1910,10
1911,12
1912,21
1913,18
1914,28
1915,35
1916,28
1917,24
1918,18
1919,28
1920,22
1921,30
1922,24
1923,29
1924,27
1925,28
1926,15
1927,25
1928,24
1929,16
1930,14
1931,24
1932,15
1933,18
1934,14
1935,17
1936,14
1937,7
1938,11
1939,13
1940,22
1941,14
1942,10
1943,16
1944,15
1945,10
1946,9
1947,17
1948,12
1949,19
1950,17
1951,13
1952,9
1953,8
1954,12
1955,12
1956,12
1957,10
1958,13
1959,9
1960,15
1961,8
1962,10
1963,11
1964,9
1965,8
1966,11
1967,7
1968,9
1969,7
1970,13
1971,0
1972,10
1973,8
1974,0
1975,5
1976,6
1977,0
1978,0
1979,0
1980,0
1981,6
1982,6
1983,6
1984,6
1985,7
1986,0
1987,8
1988,5
1989,6
1990,0
1991,6
1992,8
1993,0
1994,9
1995,10
1996,6
1997,0
1998,0
1999,5
2000,0
2001,9
2002,0
2003,0
2004,0
2005,0
2006,10
2007,0
2008,8
2009,12
2010,6
2011,11
2012,16
